measurement_id,oligo_id,study_type,species,system_model,cns_region,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,endpoint_domain,challenge_priority,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,neurotox_grade,reversibility,is_cns_specific,source_id,source_ref,source_table,redistribution,notes
CMS0019,CNS076,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654303",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 236 on SEQ ID NO: 1"
CMS0020,CNS077,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654304",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 663 on SEQ ID NO: 1"
CMS0021,CNS078,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,2.0,score_0_to_7,increase,2_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654305",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 664 on SEQ ID NO: 1"
CMS0022,CNS079,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654306",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
CMS0023,CNS080,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,2.0,score_0_to_7,increase,2_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654307",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0024,CNS081,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654309",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 678 on SEQ ID NO: 1"
CMS0025,CNS082,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654310",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 679 on SEQ ID NO: 1"
CMS0026,CNS083,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,1.0,score_0_to_7,increase,1_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654318",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 687 on SEQ ID NO: 1"
CMS0027,CNS084,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654323",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 665 on SEQ ID NO: 1"
CMS0028,CNS085,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654334",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 687 on SEQ ID NO: 1"
CMS0029,CNS086,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654341",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 665 on SEQ ID NO: 1"
CMS0030,CNS087,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,2.0,score_0_to_7,increase,2_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654342",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 666 on SEQ ID NO: 1"
CMS0031,CNS088,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666845",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0032,CNS089,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666846",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
CMS0033,CNS090,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,7.0,score_0_to_7,increase,7_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666847",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 681 on SEQ ID NO: 1 ;; VERIFIED[REFUTED] Grade 3 is not supported by this scale's own wording: 7/7 abnormal regions is not death, moribundity, unresponsiveness, frank paralysis or reported degeneration. The row's own notes record the cutoff rule actually used - ""mapping 0-<1=>0, 1 ;; corrected(neurotox_grade:3->2)"
CMS0034,CNS091,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,1.0,score_0_to_7,increase,1_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666848",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0035,CNS092,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666849",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
CMS0036,CNS093,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666850",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0037,CNS094,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,1.0,score_0_to_7,increase,1_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666851",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
CMS0038,CNS095,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,1.0,score_0_to_7,increase,1_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666852",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0039,CNS013,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 666853",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
