source_id,citation,database,landing_url,direct_download_url,doi,pmcid,pmid,licence,redistribution,we_may_redistribute,local_extracted_copy,n_measurements,access_note
COG-S011,"Reed CR, Bonadonna D, Otto JC, McDaniel CG, Chabata CV, Kuchibhatla M, Frederiksen J, Layzer JM, Arepally GM, Sullenger BA, Tracy ET. Aptamer-based factor IXa inhibition preserves hemostasis and prevents thrombosis in a piglet model of ECMO. Mol Ther Nucleic Acids. 2022;27:524-534.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8728519/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8728519/fullTextXML,10.1016/j.omtn.2021.12.011,PMC8728519,35036063,CC BY-NC-ND 4.0,CC_BY_NC_ND,yes,sources/documents/PMC8728519.xml,13,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S012,"Kolyadko VN, Layzer JM, Perry K, Sullenger BA, Krishnaswamy S. An RNA aptamer exploits exosite-dependent allostery to achieve specific inhibition of coagulation factor IXa. Proc Natl Acad Sci USA. 2024;121(29):e2401136121.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11260126/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11260126/fullTextXML,10.1073/pnas.2401136121,PMC11260126,38985762,CC BY-NC-ND 4.0 (PNAS),CC_BY_NC_ND,yes,sources/documents/PMC11260126.xml,11,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S013,"Kandimalla E.R., Manning A., Agrawal S. et al. ""Mixed backbone antisense oligonucleotides containing 2'-5'-ribonucleotide- and 3'-5'-deoxyribonucleotide segments."" United States Patent 5,886,165 (Hybridon, Inc.), filed 1996-09-24, published 1999-03-23.",USPTO,https://patents.google.com/patent/US5886165,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5886165,,,,US Government patent document - no copyright,public_domain,yes,sources/documents/US5886165.txt,8,"US patent - public domain, direct PDF."
COG-S014,"Crooke S.T. et al. ""Antidotes to antisense compounds."" United States Patent 8,389,488 B2 (Isis Pharmaceuticals, Inc.), issued 2013-03-05.",USPTO,https://patents.google.com/patent/US8389488,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8389488,,,,US Government patent document - no copyright,public_domain,yes,sources/documents/US8389488.txt,18,"US patent - public domain, direct PDF."
COG-S015,"Archemix Corp. ""Aptamer therapeutics useful in the treatment of complement-related disorders."" United States Patent 7,538,211 B2, issued 2009-05-26.",USPTO,https://patents.google.com/patent/US7538211,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/7538211,,,,US Government patent document - no copyright,public_domain,yes,sources/documents/US7538211.txt,9,"US patent - public domain, direct PDF."
COG-S016,"Teva Pharmaceutical Industries / OncoGenex Pharmaceuticals. ""Custirsen treatment with reduced toxicity."" United States Patent Application Publication US 2014/0275214 A1, published 2014-09-18.",other,,,,,,US Government pre-grant publication - no copyright,public_domain,yes,sources/documents/US2014A0275214.txt,10,
COG-S017,"Jongejan YK, Dirven RJ, Schrader Echeverri E, de Jong AJL, Pronk ACM, Kooijman S, Rensen PCN, Dahlman JE, Eikenboom JCJ, van Vlijmen BJM. Silencing of the von Willebrand factor gene in proatherothrombotic APOE*3-Leiden.CETP transgenic mice. Res Pract Thromb Haemost. 2025;9(1):102699.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11909755/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11909755/fullTextXML,10.1016/j.rpth.2025.102699,PMC11909755,40093962,CC BY 4.0 (Elsevier for ISTH/RPTH); article states: 'This is an open access article under the CC BY license',CC_BY,yes,sources/documents/PMC11909755.txt,10,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S018,"Maliglowka M, Dec A, Buldak L, Okopien B. The Effects of Inclisiran on the Subclinical Prothrombotic and Platelet Activation Markers in Patients at High Cardiovascular Risk. J Cardiovasc Dev Dis. 2025;12(9):355.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12470796/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12470796/fullTextXML,10.3390/jcdd12090355,PMC12470796,41002634,CC BY 4.0 (MDPI),CC_BY,yes,sources/documents/PMC12470796.txt,16,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S019,"Zhu X, Li H, Hu C, Wu M, Zhou S, Wang Y, Li W. Safety analysis of laboratory parameters in paediatric patients with spinal muscular atrophy treated with nusinersen. BMC Pediatr. 2024;24:474.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11270951/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11270951/fullTextXML,10.1186/s12887-024-04955-0,PMC11270951,39054521,CC BY 4.0 (BMC Pediatrics / Springer Nature),CC_BY,yes,sources/documents/PMC11270951.xml,16,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S020,"Stolte B, Nonnemacher M, Kizina K, Bolz S, Totzeck A, Thimm A, Wagner B, Deuschl C, Kleinschnitz C, Hagenacker T. Nusinersen treatment in adult patients with spinal muscular atrophy: a safety analysis of laboratory parameters. J Neurol. 2021;268(12):4667-4679.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8563549/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8563549/fullTextXML,10.1007/s00415-021-10569-8,PMC8563549,33899154,CC BY 4.0 (Journal of Neurology / Springer),CC_BY,yes,sources/documents/PMC8563549.xml,17,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S021,"Calcaterra IL, Santoro R, Vitelli N, Cirillo F, D'Errico G, Guerrino C, Cardiero G, Di Taranto MD, Fortunato G, Iannuzzo G, Di Minno MND. Assessment of Platelet Aggregation and Thrombin Generation in Patients with Familial Chylomicronemia Syndrome Treated with Volanesorsen: A Cross-Sectional Study. Biomedicines. 2024;12(9):2017.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11428464/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11428464/fullTextXML,10.3390/biomedicines12092017,PMC11428464,39335531,CC BY 4.0 (MDPI),CC_BY,yes,sources/documents/PMC11428464.xml,9,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S022,"Demirjian S, Ailawadi G, Polinsky M, Bitran D, Silberman S, Shernan SK, Burnier M, Hamilton M, Squiers E, Erlich S, Rothenstein D, Khan S, Chawla LS. Safety and Tolerability Study of an Intravenously Administered Small Interfering Ribonucleic Acid (siRNA) Post On-Pump Cardiothoracic Surgery in Patients at Risk of Acute Kidney Injury. Kidney Int Rep. 2017;2(5):836-843.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC5733816/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5733816/fullTextXML,10.1016/j.ekir.2017.03.016,PMC5733816,29270490,"CC BY-NC-ND 4.0 (International Society of Nephrology, published by Elsevier) - no derivatives; quote-level reuse only, do not redistribute modified full text",CC_BY_NC_ND,yes,sources/documents/PMC5733816.txt,6,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S023,"Abourahma H, Kempaiah P, Farooqui A, Krupa E, et al. A Comparative Study of Porcine and Ovine Derived Defibrotide: Coagulation Profiles, Molecular Characteristics, and DNA Content. Clinical and Applied Thrombosis/Hemostasis. SAGE Publications. doi:10.1177/10760296261429228",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13009829/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13009829/fullTextXML,10.1177/10760296261429228,PMC13009829,41869748,"Creative Commons Attribution-NonCommercial 4.0 (CC BY-NC 4.0), per <permissions> block: 'This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License'",CC_BY_NC,yes,sources/documents/PMC13009829.xml,19,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S024,"DEFITELIO (defibrotide sodium) injection, for intravenous use. US Prescribing Information. Jazz Pharmaceuticals, Inc. Initial U.S. Approval 2016. SPL version 8, effective 2025-07-01 (retrieved via NLM DailyMed).",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2c3db989-d7ad-41ed-9ebf-698dcf6c24ec,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=2c3db989-d7ad-41ed-9ebf-698dcf6c24ec&type=pdf,,,,US Federal Government / FDA-approved labeling redistributed by NLM DailyMed; not subject to copyright in the United States,public_domain,yes,sources/documents/dailymed_defibrotide_defitelio_2c3db989-d7ad-41ed-9ebf-698dcf6c24ec.xml,34,"US prescribing information - public domain, direct PDF."
COG-S025,"Seth Chhabra E, Liu M. Evaluation of the interference of fitusiran and antithrombin lowering in plasma on routine coagulation assays. Res Pract Thromb Haemost. 2025;9(6):102989.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12451317/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12451317/fullTextXML,10.1016/j.rpth.2025.102989,PMC12451317,40988732,CC BY-NC-ND 4.0,CC_BY_NC_ND,yes,sources/documents/PMC12451317.txt,156,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S026,"QFITLIA (fitusiran) injection, for subcutaneous use. US Prescribing Information. Genzyme Corporation. SPL version 6, 2025-09-18.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6dd2f8ac-6f90-4cbf-b197-97d74964135c,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=6dd2f8ac-6f90-4cbf-b197-97d74964135c&type=pdf,,,,"US Government / FDA labeling, public domain",public_domain,yes,sources/documents/dailymed_fitusiran_qfitlia_6dd2f8ac-6f90-4cbf-b197-97d74964135c.xml,23,"US prescribing information - public domain, direct PDF."
COG-S027,"Young G, Kavakli K, Klamroth R, et al. Safety and efficacy of a fitusiran antithrombin-based dose regimen in people with hemophilia A or B: the ATLAS-OLE study. Blood. 2025;145(25):2966-2977.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12824673/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12824673/fullTextXML,10.1182/blood.2024027008,PMC12824673,40053895,CC BY-NC-ND 4.0 (Blood / American Society of Hematology),CC_BY_NC_ND,yes,sources/documents/PMC12824673.txt,29,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S028,"Pipe SW, Lissitchkov T, et al. Long-term safety and efficacy of fitusiran prophylaxis, and perioperative management, in people with hemophilia A or B. Blood Adv. 2025;9(5).",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11914172/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11914172/fullTextXML,10.1182/bloodadvances.2024013900,PMC11914172,39642315,CC BY-NC-ND 4.0 (Blood Advances / American Society of Hematology),CC_BY_NC_ND,yes,sources/documents/PMC11914172.txt,29,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S029,"Kenet G, Nolan B, Zulfikar B, et al. Fitusiran prophylaxis in people with hemophilia A or B who switched from prior BPA/CFC prophylaxis: the ATLAS-PPX trial. Blood. 2024;143(21):2256-2269.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11181353/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11181353/fullTextXML,10.1182/blood.2023021864,PMC11181353,38452197,CC BY-NC-ND 4.0 (Blood / American Society of Hematology),CC_BY_NC_ND,yes,sources/documents/PMC11181353.txt,14,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S030,"Young G, Sorensen B, Dargaud Y, et al. Targeting of antithrombin in hemophilia A or B with investigational siRNA therapeutic fitusiran (ALN-AT3): results of the phase 1 inhibitor cohort. J Thromb Haemost. 2021;19(6):1436-1446.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8251589/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8251589/fullTextXML,10.1111/jth.15270,PMC8251589,33587824,CC BY-NC-ND 4.0 (Journal of Thrombosis and Haemostasis / Wiley for ISTH),CC_BY_NC_ND,yes,sources/documents/PMC8251589.txt,18,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S031,"McCluskey G, Maynadie H, Borgel D, et al. Fitusiran treatment modulates the ratio between alpha- and beta-antithrombin isoforms. HemaSphere. 2026;10(5):e70376.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC13146349/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13146349/fullTextXML,10.1002/hem3.70376,PMC13146349,42100790,CC BY-NC-ND 4.0 (HemaSphere / Wiley for EHA),CC_BY_NC_ND,yes,sources/documents/PMC13146349.txt,24,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S032,"Modulation of factor 7 expression. United States Patent US 9,029,337 B2, assignee Isis Pharmaceuticals, Inc.; application 12/741959 (35 U.S.C. 371 national phase of PCT/US2008/082526), filed 05 November 2008, published/granted 12 May 2015. Examples 11-18, Tables 19, 20, 22, 24, 26, 27, 29, 30 and 31.",USPTO,https://patents.google.com/patent/US9029337,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9029337,,,,Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,yes,sources/documents/US9029337.txt,69,"US patent - public domain, direct PDF."
COG-S033,"Modulation of prekallikrein (PKK) expression. United States Patent US 9,670,492 B2, assignee Ionis Pharmaceuticals, Inc.; application 14/472,318-series filing 28 August 2014, published/granted 06 June 2017. Examples 8, 17, 19, 20, 21 and 22, Tables 50, 52, 78, 81, 82, 83, 84 and 85; per-position chemical notations at lines 1279, 1311 and 1343.",USPTO,https://patents.google.com/patent/US9670492,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9670492,,,,Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,yes,sources/documents/US9670492.txt,87,"US patent - public domain, direct PDF."
COG-S034,"Serpinc1 iRNA compositions and methods of use thereof. United States Patent US 9,376,680 B2, assignee Alnylam Pharmaceuticals, Inc.; application 14/806084 (continuation of Ser. No. 13/837,129, now US 9,127,274), filed 22 July 2015, published/granted 28 June 2016. Examples 7-14, Tables 15, 18 and 19; monomer abbreviation table at lines 1840-1960.",USPTO,https://patents.google.com/patent/US9376680,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9376680,,,,Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,yes,sources/documents/US9376680.txt,55,"US patent - public domain, direct PDF."
COG-S035,"Modulation of Factor 11 expression. United States Patent US 10,772,906 B2, Ionis Pharmaceuticals, Inc.",USPTO,https://patents.google.com/patent/US10772906,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10772906,,,,United States federal government publication (issued patent text) - no copyright,public_domain,yes,sources/documents/US10772906.txt,702,"US patent - public domain, direct PDF."
COG-S036,"Compositions and methods for inhibiting gene expression of factor XII. United States Patent US 10,858,658 B2, Arrowhead Pharmaceuticals, Inc.",USPTO,https://patents.google.com/patent/US10858658,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10858658,,,,United States federal government publication (issued patent text) - no copyright,public_domain,yes,sources/documents/US10858658.txt,31,"US patent - public domain, direct PDF."
COG-S037,"Methods for modulating factor 12 expression. United States Patent US 9,150,864 B2, Isis Pharmaceuticals, Inc.",USPTO,https://patents.google.com/patent/US9150864,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9150864,,,,United States federal government publication (issued patent text) - no copyright,public_domain,yes,sources/documents/US9150864.txt,156,"US patent - public domain, direct PDF."
COG-S038,"Walsh M, Bethune C, Smyth A, Tyrwhitt J, Jung SW, Yu RZ, Wang Y, Geary RS, Weitz J, Bhanot S; CS4 Investigators. Phase 2 Study of the Factor XI Antisense Inhibitor IONIS-FXIRx in Patients With ESRD. Kidney Int Rep. 2022;7(2):200-209.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8820988/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8820988/fullTextXML,10.1016/j.ekir.2021.11.011,PMC8820988,35155859,CC BY-NC-ND 4.0 (International Society of Nephrology / Elsevier); licence asserted in the article XML (pmc-license-ref CC BY-NC-ND),CC_BY_NC_ND,yes,sources/documents/PMC8820988.xml,57,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S039,"Buller HR, Bethune C, Bhanot S, Gailani D, Monia BP, Raskob GE, Segers A, Verhamme P, Weitz JI; FXI-ASO TKA Investigators. Factor XI Antisense Oligonucleotide for Prevention of Venous Thrombosis. N Engl J Med. 2015;372(3):232-240.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC4367537/,,10.1056/NEJMoa1405760,PMC4367537,25482425,"No Creative Commons licence. (c) 2014 Massachusetts Medical Society; PMC record states 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' Free to read, NOT free to redistribute verbatim.",publisher_restricted,no,sources/documents/NCBI_PMC4367537.xml,34,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S040,"Crosby JR, Marzec U, Revenko AS, Zhao C, Gao D, Matafonov A, Gailani D, MacLeod AR, Tucker EI, Gruber A, Hanson SR, Monia BP. Antithrombotic effect of antisense factor XI oligonucleotide treatment in primates. Arterioscler Thromb Vasc Biol. 2013;33(7):1670-1678.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3717325/,,10.1161/ATVBAHA.113.301282,PMC3717325,23559626,"No Creative Commons licence. American Heart Association author manuscript; PMC record states 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' Free to read, NOT free to redistribute verbatim.",publisher_restricted,no,sources/documents/NCBI_PMC3717325.xml,13,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S041,"Lang T, Hodel K, Kubitza E, et al. Pharmacokinetics, pharmacodynamics, and safety of fesomersen in healthy Chinese, Japanese, and Caucasian volunteers. Clin Transl Sci. 2024;17(4):e13784.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10985948/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10985948/fullTextXML,10.1111/cts.13784,PMC10985948,38563414,CC BY-NC 4.0 (Bayer AG / Wiley on behalf of ASCPT),CC_BY_NC,yes,sources/documents/PMC10985948.xml,31,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S042,"Ferrone JD, Bhattacharjee G, Revenko AS, Zanardi TA, Warren MS, Derosier FJ, Viney NJ, Pham NC, Kaeser GE, Baker BF, Beech S, Monia BP, MacLeod AR, Wang Y, Crooke RM. IONIS-PKKRx a Novel Antisense Inhibitor of Prekallikrein and Bradykinin Production. Nucleic Acid Ther. 2019;29(2):82-91.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC6461157/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6461157/fullTextXML,10.1089/nat.2018.0754,PMC6461157,30817230,"CC BY-NC (Mary Ann Liebert, Inc.); licence asserted in the article XML (pmc-license-ref CC BY-NC)",CC_BY_NC,yes,sources/documents/PMC6461157.xml,26,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S043,"Liang J, Nilsson S, Wikstrom J, Cao H, Zheng S, Xu Q, Yan X, Ueckert S, Sun Q, Guo C, Zhang H, Liang Z, Gao S, Gan LM. Inhibition of Factor XI Using RBD4059: A Novel GalNAc-siRNA With Potent and Durable Antithrombotic Effects. JACC Basic Transl Sci. 2025;10(6):786-797.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12230477/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12230477/fullTextXML,10.1016/j.jacbts.2024.12.005,PMC12230477,40562491,CC BY 4.0 (the Authors / Elsevier) - fully redistributable,CC_BY,yes,sources/documents/PMC12230477.xml,10,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S044,Preclinical safety and bleeding evaluation in swine for a small interfering RNA-lipid nanoparticle that prevents excess fibrinogen synthesis. J Thromb Haemost. 2025. (ABSTRACT ONLY - full text not obtainable),PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12766900/,,10.1016/j.jtha.2025.09.012,PMC12766900,41076269,UNKNOWN - the Europe PMC licence field is null for this record. RPTH/Elsevier is normally CC BY-NC-ND but this record does not assert it. MUST be resolved before any redistribution.,unresolved,no,sources/documents/PMC12766900_abstract.txt,5,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S045,"TEGSEDI (inotersen) injection, for subcutaneous use - US Prescribing Information. Akcea Therapeutics, Inc. Initial U.S. Approval 2018; label revised 1/2024.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8513207e-b55f-417b-9473-af785146a543,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=8513207e-b55f-417b-9473-af785146a543&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_inotersen_tegsedi_akcea_8513207e-b55f-417b-9473-af785146a543.xml,8,"US prescribing information - public domain, direct PDF."
