oligo_name,source_key,study_type,species,strain,system_model,is_human_system,indication_population,arm_label,arm_description,arm_role,cns_compartment,delivery_route,dose_value,dose_unit,dose_regimen,exposure_duration,timepoint,endpoint_tier,readout_category,readout_name,readout_term_verbatim,readout_value,readout_unit,readout_is_qualitative,n_affected,n_at_risk,comparator_arm,n_affected_comparator,n_at_risk_comparator,statistic,effect_direction,effect_vs_control,seriousness,assessment_type,organ_system,source_vocabulary,hydroceph_grade,grade_basis,grade_status,ascertainment,ascertainment_basis,attribution_as_stated,attribution_evidence,tox_axis,event_cluster_id,source_ref,source_location,redistribution,notes
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 90 mg'",TRUE,Huntington's Disease,ISIS 443139 90 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 90 mg,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),42.24,mL,FALSE,NOT_APPLICABLE,9,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 25.80,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.11 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG004'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 120 mg'",TRUE,Huntington's Disease,ISIS 443139 120 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 120 mg,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),30.36,mL,FALSE,NOT_APPLICABLE,10,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 21.80,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.11 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG005'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
placebo_or_sham_control,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'Placebo'",TRUE,Huntington's Disease,Placebo,NOT_APPLICABLE,comparator,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,Placebo,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),36.46,mL,FALSE,NOT_APPLICABLE,12,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEAN; dispersion Standard Deviation = 18.97,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG000'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 10 mg'",TRUE,Huntington's Disease,ISIS 443139 10 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 10 mg,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),19.69,mL,FALSE,NOT_APPLICABLE,3,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 13.03,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.46 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG001'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 30 mg'",TRUE,Huntington's Disease,ISIS 443139 30 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 30 mg,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),34.82,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 18.16,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.46 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG002'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 60 mg'",TRUE,Huntington's Disease,ISIS 443139 60 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 60 mg,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),34.57,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 14.82,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.46 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG003'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 90 mg'",TRUE,Huntington's Disease,ISIS 443139 90 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 90 mg,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),44.43,mL,FALSE,NOT_APPLICABLE,9,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 27.37,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.46 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG004'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 120 mg'",TRUE,Huntington's Disease,ISIS 443139 120 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 120 mg,"Screening, Days 113, and 197",Day 197,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),33.02,mL,FALSE,NOT_APPLICABLE,10,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 24.61,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.46 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 197'].categories[0].measurements[groupId='OG005'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT03342053,clinical_trial,human,NOT_APPLICABLE,"NCT03342053 — pre-specified MRI outcome measure, arm 'RO7234292 Monthly'",TRUE,Huntington's Disease,RO7234292 Monthly,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,RO7234292 Monthly,Baseline up to 15 months,Baseline up to 15 months,A,ventricular_morphometry,ventricular_volume_boundary_shift_integral_pct_change,Mean Percentage Change in Ventricular Volume Boundary Shift Integral From Baseline to 15 Months,46.09,Percentage change,FALSE,NOT_APPLICABLE,20,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEAN; dispersion Standard Deviation = 32.14,increase,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT03342053,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Mean Percentage Change in Ventricular Volume Boundary Shift '].classes[title='Baseline up to 15 months'].categories[0].measurements[groupId='OG000'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT03342053,clinical_trial,human,NOT_APPLICABLE,"NCT03342053 — pre-specified MRI outcome measure, arm 'RO7234292 Bimonthly'",TRUE,Huntington's Disease,RO7234292 Bimonthly,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,RO7234292 Bimonthly,Baseline up to 15 months,Baseline up to 15 months,A,ventricular_morphometry,ventricular_volume_boundary_shift_integral_pct_change,Mean Percentage Change in Ventricular Volume Boundary Shift Integral From Baseline to 15 Months,18.77,Percentage change,FALSE,NOT_APPLICABLE,18,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEAN; dispersion Standard Deviation = 10.36,increase,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT03342053,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Mean Percentage Change in Ventricular Volume Boundary Shift '].classes[title='Baseline up to 15 months'].categories[0].measurements[groupId='OG001'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT05686551,clinical_trial,human,NOT_APPLICABLE,NCT05686551 — pre-specified PRIMARY outcome; results not posted,TRUE,Huntington Disease,all arms,trial status: ACTIVE_NOT_RECRUITING,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,ventricular_morphometry,structural_MRI_hydrocephalus_features_PLANNED,DB Period: Change From Baseline in Structural Magnetic Resonance Imaging (MRI) Assessing Any New Abnormalities Including Radiographic Features Consistent With Hydrocephalus and Other Relevant MRI Safety Findings,NOT_REPORTED,NOT_APPLICABLE,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,NOT GRADED. No result exists to grade.,not_graded,not_assessed,"The successor trial to GENERATION HD1 makes radiographic features consistent with hydrocephalus a PRIMARY outcome measured by structural MRI. Results are not posted. This row records that the endpoint is now protocol-specified for this compound — evidence about ascertainment practice, not about the endpoint — and carries no grade.",not_discussed,No result; no attribution to record.,ventricular_enlargement,NOT_APPLICABLE,NCT05686551,protocolSection.outcomesModule.primaryOutcomes[measure='DB Period: Change From Baseline in Structural Magn...'],public_domain,"Included because the absence of protocol-specified ventricular imaging is this endpoint's central ascertainment limitation, and this trial is the first to remove it. Retrieved 2026-09-04."
