source_id,source_key,citation,first_author,year,journal,doi,pmid,pmcid,nct_id,url,access,license,redistribution,evidence_tier,retrieved_via,retrieved_date,n_oligos,n_measurements,notes
DailyMed_SPL_inotersen,DailyMed_SPL_inotersen,FDA prescribing information for inotersen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_lumasiran,DailyMed_SPL_lumasiran,FDA prescribing information for lumasiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_nedosiran,DailyMed_SPL_nedosiran,FDA prescribing information for nedosiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_nusinersen,DailyMed_SPL_nusinersen,FDA prescribing information for nusinersen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_patisiran,DailyMed_SPL_patisiran,FDA prescribing information for patisiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_tofersen,DailyMed_SPL_tofersen,FDA prescribing information for tofersen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_viltolarsen,DailyMed_SPL_viltolarsen,FDA prescribing information for viltolarsen (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
DailyMed_SPL_vutrisiran,DailyMed_SPL_vutrisiran,FDA prescribing information for vutrisiran (Structured Product Label),NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,,https://dailymed.nlm.nih.gov/dailymed/,public_domain,US Government work / public domain,public_domain,regulatory_primary,"DailyMed v2 API, spls/<setid>.xml",2026-09-03,1,5,Label text quoted verbatim with its LOINC-coded section.
EMA_SmPC_Qalsody,EMA_SmPC_Qalsody,EMA_SmPC_Qalsody,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,,,,,,NOT_REPORTED,NOT_REPORTED,verify,NOT_REPORTED,NOT_REPORTED,2026-09-03,1,5,
EMA_SmPC_Spinraza,EMA_SmPC_Spinraza,EMA_SmPC_Spinraza,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,,,,,,NOT_REPORTED,NOT_REPORTED,verify,NOT_REPORTED,NOT_REPORTED,2026-09-03,1,2,
EMA_SmPC_Tegsedi,EMA_SmPC_Tegsedi,EMA_SmPC_Tegsedi,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,,,,,,NOT_REPORTED,NOT_REPORTED,verify,NOT_REPORTED,NOT_REPORTED,2026-09-03,1,1,
FAERS_openFDA,FAERS_openFDA,"FDA Adverse Event Reporting System (FAERS), queried through the openFDA drug/event API",NOT_APPLICABLE,2026,NOT_APPLICABLE,,,,,https://api.fda.gov/drug/event.json,api,US Government work / public domain,public_domain,pharmacovigilance_api,"openFDA REST API, one exact query per (drug, MedDRA term) pair",2026-09-03,19,456,"Spontaneous reports. Counts are reports, not patients, and carry no exposure denominator. No disproportionality statistic is computed here."
NCT00094835,NCT00094835,"ClinicalTrials.gov study record NCT00094835, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00094835,https://clinicaltrials.gov/study/NCT00094835,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00094835",2026-09-03,1,7,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00101907,NCT00101907,"ClinicalTrials.gov study record NCT00101907, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00101907,https://clinicaltrials.gov/study/NCT00101907,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00101907",2026-09-03,1,6,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00138658,NCT00138658,"ClinicalTrials.gov study record NCT00138658, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00138658,https://clinicaltrials.gov/study/NCT00138658,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00138658",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00159250,NCT00159250,"ClinicalTrials.gov study record NCT00159250, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00159250,https://clinicaltrials.gov/study/NCT00159250,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00159250",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00239928,NCT00239928,"ClinicalTrials.gov study record NCT00239928, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00239928,https://clinicaltrials.gov/study/NCT00239928,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00239928",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00242580,NCT00242580,"ClinicalTrials.gov study record NCT00242580, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00242580,https://clinicaltrials.gov/study/NCT00242580,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00242580",2026-09-03,1,3,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00327340,NCT00327340,"ClinicalTrials.gov study record NCT00327340, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00327340,https://clinicaltrials.gov/study/NCT00327340,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00327340",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00327470,NCT00327470,"ClinicalTrials.gov study record NCT00327470, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00327470,https://clinicaltrials.gov/study/NCT00327470,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00327470",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00358501,NCT00358501,"ClinicalTrials.gov study record NCT00358501, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00358501,https://clinicaltrials.gov/study/NCT00358501,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00358501",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00362180,NCT00362180,"ClinicalTrials.gov study record NCT00362180, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00362180,https://clinicaltrials.gov/study/NCT00362180,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00362180",2026-09-03,1,3,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00406107,NCT00406107,"ClinicalTrials.gov study record NCT00406107, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00406107,https://clinicaltrials.gov/study/NCT00406107,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00406107",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00427349,NCT00427349,"ClinicalTrials.gov study record NCT00427349, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00427349,https://clinicaltrials.gov/study/NCT00427349,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00427349",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00460408,NCT00460408,"ClinicalTrials.gov study record NCT00460408, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00460408,https://clinicaltrials.gov/study/NCT00460408,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00460408",2026-09-03,1,4,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00477594,NCT00477594,"ClinicalTrials.gov study record NCT00477594, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00477594,https://clinicaltrials.gov/study/NCT00477594,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00477594",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00549055,NCT00549055,"ClinicalTrials.gov study record NCT00549055, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00549055,https://clinicaltrials.gov/study/NCT00549055,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00549055",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00574951,NCT00574951,"ClinicalTrials.gov study record NCT00574951, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00574951,https://clinicaltrials.gov/study/NCT00574951,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00574951",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00605280,NCT00605280,"ClinicalTrials.gov study record NCT00605280, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00605280,https://clinicaltrials.gov/study/NCT00605280,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00605280",2026-09-03,1,6,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00607373,NCT00607373,"ClinicalTrials.gov study record NCT00607373, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00607373,https://clinicaltrials.gov/study/NCT00607373,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00607373",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00628498,NCT00628498,"ClinicalTrials.gov study record NCT00628498, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00628498,https://clinicaltrials.gov/study/NCT00628498,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00628498",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00694109,NCT00694109,"ClinicalTrials.gov study record NCT00694109, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00694109,https://clinicaltrials.gov/study/NCT00694109,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00694109",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00706849,NCT00706849,"ClinicalTrials.gov study record NCT00706849, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00706849,https://clinicaltrials.gov/study/NCT00706849,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00706849",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00707746,NCT00707746,"ClinicalTrials.gov study record NCT00707746, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00707746,https://clinicaltrials.gov/study/NCT00707746,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00707746",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00735943,NCT00735943,"ClinicalTrials.gov study record NCT00735943, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00735943,https://clinicaltrials.gov/study/NCT00735943,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00735943",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00761280,NCT00761280,"ClinicalTrials.gov study record NCT00761280, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00761280,https://clinicaltrials.gov/study/NCT00761280,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00761280",2026-09-03,1,10,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00770146,NCT00770146,"ClinicalTrials.gov study record NCT00770146, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00770146,https://clinicaltrials.gov/study/NCT00770146,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00770146",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00787319,NCT00787319,"ClinicalTrials.gov study record NCT00787319, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00787319,https://clinicaltrials.gov/study/NCT00787319,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00787319",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00790803,NCT00790803,"ClinicalTrials.gov study record NCT00790803, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00790803,https://clinicaltrials.gov/study/NCT00790803,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00790803",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00794664,NCT00794664,"ClinicalTrials.gov study record NCT00794664, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00794664,https://clinicaltrials.gov/study/NCT00794664,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00794664",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00844597,NCT00844597,"ClinicalTrials.gov study record NCT00844597, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00844597,https://clinicaltrials.gov/study/NCT00844597,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00844597",2026-09-03,1,6,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT00858208,NCT00858208,"ClinicalTrials.gov study record NCT00858208, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT00858208,https://clinicaltrials.gov/study/NCT00858208,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT00858208",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01100307,NCT01100307,"ClinicalTrials.gov study record NCT01100307, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01100307,https://clinicaltrials.gov/study/NCT01100307,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01100307",2026-09-03,1,4,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01189461,NCT01189461,"ClinicalTrials.gov study record NCT01189461, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01189461,https://clinicaltrials.gov/study/NCT01189461,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01189461",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01245387,NCT01245387,"ClinicalTrials.gov study record NCT01245387, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01245387,https://clinicaltrials.gov/study/NCT01245387,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01245387",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01396239,NCT01396239,"ClinicalTrials.gov study record NCT01396239, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01396239,https://clinicaltrials.gov/study/NCT01396239,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01396239",2026-09-03,1,3,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01475825,NCT01475825,"ClinicalTrials.gov study record NCT01475825, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01475825,https://clinicaltrials.gov/study/NCT01475825,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01475825",2026-09-03,1,4,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01486238,NCT01486238,"ClinicalTrials.gov study record NCT01486238, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01486238,https://clinicaltrials.gov/study/NCT01486238,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01486238",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01540409,NCT01540409,"ClinicalTrials.gov study record NCT01540409, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01540409,https://clinicaltrials.gov/study/NCT01540409,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01540409",2026-09-03,0,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01573572,NCT01573572,"ClinicalTrials.gov study record NCT01573572, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01573572,https://clinicaltrials.gov/study/NCT01573572,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01573572",2026-09-03,1,1,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01617967,NCT01617967,"ClinicalTrials.gov study record NCT01617967, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01617967,https://clinicaltrials.gov/study/NCT01617967,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01617967",2026-09-03,1,6,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01681433,NCT01681433,"ClinicalTrials.gov study record NCT01681433, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01681433,https://clinicaltrials.gov/study/NCT01681433,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01681433",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01703988,NCT01703988,"ClinicalTrials.gov study record NCT01703988, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01703988,https://clinicaltrials.gov/study/NCT01703988,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01703988",2026-09-03,1,12,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01731951,NCT01731951,"ClinicalTrials.gov study record NCT01731951, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01731951,https://clinicaltrials.gov/study/NCT01731951,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01731951",2026-09-03,1,6,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01737398,NCT01737398,"ClinicalTrials.gov study record NCT01737398, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01737398,https://clinicaltrials.gov/study/NCT01737398,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01737398",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01780545,NCT01780545,"ClinicalTrials.gov study record NCT01780545, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01780545,https://clinicaltrials.gov/study/NCT01780545,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01780545",2026-09-03,1,4,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
NCT01829113,NCT01829113,"ClinicalTrials.gov study record NCT01829113, including posted results",NOT_APPLICABLE,NOT_REPORTED,NOT_APPLICABLE,,,,NCT01829113,https://clinicaltrials.gov/study/NCT01829113,public_domain,US Government work / public domain,public_domain,registry_results,"ClinicalTrials.gov v2 API, /api/v2/studies/NCT01829113",2026-09-03,1,2,"Adverse-event module gives per-arm counts with denominators, including explicitly reported zeros."
