source_id,citation,identifier,document_file,retrieval_route,licence,redistribution,extraction_bundle,n_oligos,n_measurements
COG-S011,"Reed CR, Bonadonna D, Otto JC, McDaniel CG, Chabata CV, Kuchibhatla M, Frederiksen J, Layzer JM, Arepally GM, Sullenger BA, Tracy ET. Aptamer-based factor IXa inhibition preserves hemostasis and prevents thrombosis in a piglet model of ECMO. Mol Ther Nucleic Acids. 2022;27:524-534.",PMC8728519 | PMID 35036063 | 10.1016/j.omtn.2021.12.011,PMC8728519.xml,"PMC OA full-text JATS XML already on disk; parsed with xml.etree. Document S1 (Figures S1-S5, including the porcine aPTT dose-response Fig S3) not retrieved.",CC BY-NC-ND 4.0,CC_BY_NC_ND,aptamers-panel,1,13
COG-S012,"Kolyadko VN, Layzer JM, Perry K, Sullenger BA, Krishnaswamy S. An RNA aptamer exploits exosite-dependent allostery to achieve specific inhibition of coagulation factor IXa. Proc Natl Acad Sci USA. 2024;121(29):e2401136121.",PMC11260126 | PMID 38985762 | DOI in retrieved XML: 10.1073/pnas.2401136121 (triage sheet lists 10.1073/pnas.2317177121 - see extraction_notes),PMC11260126.xml,"PMC OA full-text JATS XML already on disk; parsed with xml.etree. SI Appendix (full DTRI-177 sequence, Tables S1-S3, Figs S1-S6) not retrieved.",CC BY-NC-ND 4.0 (PNAS),CC_BY_NC_ND,aptamers-panel,1,11
COG-S013,"Kandimalla E.R., Manning A., Agrawal S. et al. ""Mixed backbone antisense oligonucleotides containing 2'-5'-ribonucleotide- and 3'-5'-deoxyribonucleotide segments."" United States Patent 5,886,165 (Hybridon, Inc.), filed 1996-09-24, published 1999-03-23.","US 5,886,165 A",US5886165.txt,pre-staged HTML-to-text conversion of the USPTO/FreePatentsOnline grant text supplied in /home/user/coag-staging/fulltext,US Government patent document - no copyright,public_domain,backbone-sar-patents,1,8
COG-S014,"Crooke S.T. et al. ""Antidotes to antisense compounds."" United States Patent 8,389,488 B2 (Isis Pharmaceuticals, Inc.), issued 2013-03-05.","US 8,389,488 B2",US8389488.txt,pre-staged HTML-to-text conversion of the USPTO/FreePatentsOnline grant text supplied in /home/user/coag-staging/fulltext,US Government patent document - no copyright,public_domain,backbone-sar-patents,6,18
COG-S015,"Archemix Corp. ""Aptamer therapeutics useful in the treatment of complement-related disorders."" United States Patent 7,538,211 B2, issued 2009-05-26.","US 7,538,211 B2",US7538211.txt,pre-staged HTML-to-text conversion of the USPTO/FreePatentsOnline grant text supplied in /home/user/coag-staging/fulltext,US Government patent document - no copyright,public_domain,backbone-sar-patents,1,9
COG-S016,"Teva Pharmaceutical Industries / OncoGenex Pharmaceuticals. ""Custirsen treatment with reduced toxicity."" United States Patent Application Publication US 2014/0275214 A1, published 2014-09-18.",US 2014/0275214 A1,US2014A0275214.txt,pre-staged HTML-to-text conversion of the USPTO pre-grant publication supplied in /home/user/coag-staging/fulltext,US Government pre-grant publication - no copyright,public_domain,backbone-sar-patents,1,10
COG-S017,"Jongejan YK, Dirven RJ, Schrader Echeverri E, de Jong AJL, Pronk ACM, Kooijman S, Rensen PCN, Dahlman JE, Eikenboom JCJ, van Vlijmen BJM. Silencing of the von Willebrand factor gene in proatherothrombotic APOE*3-Leiden.CETP transgenic mice. Res Pract Thromb Haemost. 2025;9(1):102699.",PMC11909755 | PMID 40093962 | doi:10.1016/j.rpth.2025.102699,PMC11909755.txt,"PMC Open Access full text, staged locally by the triage step as flattened text",CC BY 4.0 (Elsevier for ISTH/RPTH); article states: 'This is an open access article under the CC BY license',CC_BY,clinical-studies,2,10
COG-S018,"Maliglowka M, Dec A, Buldak L, Okopien B. The Effects of Inclisiran on the Subclinical Prothrombotic and Platelet Activation Markers in Patients at High Cardiovascular Risk. J Cardiovasc Dev Dis. 2025;12(9):355.",PMC12470796 | PMID 41002634 | doi:10.3390/jcdd12090355,PMC12470796.txt,"PMC Open Access full text, staged locally by the triage step as flattened text",CC BY 4.0 (MDPI),CC_BY,clinical-studies,1,16
COG-S019,"Zhu X, Li H, Hu C, Wu M, Zhou S, Wang Y, Li W. Safety analysis of laboratory parameters in paediatric patients with spinal muscular atrophy treated with nusinersen. BMC Pediatr. 2024;24:474.",PMC11270951 | PMID 39054521 | doi:10.1186/s12887-024-04955-0,PMC11270951.xml,"PMC Open Access JATS XML, staged locally by the triage step",CC BY 4.0 (BMC Pediatrics / Springer Nature),CC_BY,clinical-studies,1,16
COG-S020,"Stolte B, Nonnemacher M, Kizina K, Bolz S, Totzeck A, Thimm A, Wagner B, Deuschl C, Kleinschnitz C, Hagenacker T. Nusinersen treatment in adult patients with spinal muscular atrophy: a safety analysis of laboratory parameters. J Neurol. 2021;268(12):4667-4679.",PMC8563549 | PMID 33899154 | doi:10.1007/s00415-021-10569-8,PMC8563549.xml,"PMC Open Access JATS XML, staged locally by the triage step",CC BY 4.0 (Journal of Neurology / Springer),CC_BY,clinical-studies,1,17
COG-S021,"Calcaterra IL, Santoro R, Vitelli N, Cirillo F, D'Errico G, Guerrino C, Cardiero G, Di Taranto MD, Fortunato G, Iannuzzo G, Di Minno MND. Assessment of Platelet Aggregation and Thrombin Generation in Patients with Familial Chylomicronemia Syndrome Treated with Volanesorsen: A Cross-Sectional Study. Biomedicines. 2024;12(9):2017.",PMC11428464 | PMID 39335531 | doi:10.3390/biomedicines12092017,PMC11428464.xml,"PMC Open Access JATS XML, staged locally by the triage step",CC BY 4.0 (MDPI),CC_BY,clinical-studies,1,9
COG-S022,"Demirjian S, Ailawadi G, Polinsky M, Bitran D, Silberman S, Shernan SK, Burnier M, Hamilton M, Squiers E, Erlich S, Rothenstein D, Khan S, Chawla LS. Safety and Tolerability Study of an Intravenously Administered Small Interfering Ribonucleic Acid (siRNA) Post On-Pump Cardiothoracic Surgery in Patients at Risk of Acute Kidney Injury. Kidney Int Rep. 2017;2(5):836-843.",PMC5733816 | PMID 29270490 | doi:10.1016/j.ekir.2017.03.016 | NCT00554359,PMC5733816.txt,"PMC Open Access full text, staged locally by the triage step as flattened text","CC BY-NC-ND 4.0 (International Society of Nephrology, published by Elsevier) - no derivatives; quote-level reuse only, do not redistribute modified full text",CC_BY_NC_ND,clinical-studies,1,6
COG-S023,"Abourahma H, Kempaiah P, Farooqui A, Krupa E, et al. A Comparative Study of Porcine and Ovine Derived Defibrotide: Coagulation Profiles, Molecular Characteristics, and DNA Content. Clinical and Applied Thrombosis/Hemostasis. SAGE Publications. doi:10.1177/10760296261429228",PMC13009829 | PMID 41869748 | DOI 10.1177/10760296261429228,PMC13009829.xml,"PMC Open Access JATS XML supplied in staging directory; parsed with xml.etree (single-line JATS, machine-readable <table> elements)","Creative Commons Attribution-NonCommercial 4.0 (CC BY-NC 4.0), per <permissions> block: 'This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License'",CC_BY_NC,defibrotide,2,19
COG-S024,"DEFITELIO (defibrotide sodium) injection, for intravenous use. US Prescribing Information. Jazz Pharmaceuticals, Inc. Initial U.S. Approval 2016. SPL version 8, effective 2025-07-01 (retrieved via NLM DailyMed).",DailyMed setId 2c3db989-d7ad-41ed-9ebf-698dcf6c24ec | SPL versionNumber 8 | effectiveTime 20250701,dailymed_defibrotide_defitelio_2c3db989-d7ad-41ed-9ebf-698dcf6c24ec.xml,NLM DailyMed HL7 v3 SPL XML supplied in staging directory; parsed with xml.etree over urn:hl7-org:v3 namespace,US Federal Government / FDA-approved labeling redistributed by NLM DailyMed; not subject to copyright in the United States,public_domain,defibrotide,1,34
COG-S025,"Seth Chhabra E, Liu M. Evaluation of the interference of fitusiran and antithrombin lowering in plasma on routine coagulation assays. Res Pract Thromb Haemost. 2025;9(6):102989.",PMC12451317 | PMID 40988732 | doi:10.1016/j.rpth.2025.102989,PMC12451317.txt,PubMed Central open-access full text (JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0,CC_BY_NC_ND,fitusiran,0,156
COG-S026,"QFITLIA (fitusiran) injection, for subcutaneous use. US Prescribing Information. Genzyme Corporation. SPL version 6, 2025-09-18.",DailyMed setid 6dd2f8ac-6f90-4cbf-b197-97d74964135c | SPL v6 2025-09-18,dailymed_fitusiran_qfitlia_6dd2f8ac-6f90-4cbf-b197-97d74964135c.xml,NLM DailyMed HL7 v3 SPL XML download,"US Government / FDA labeling, public domain",public_domain,fitusiran,1,23
COG-S027,"Young G, Kavakli K, Klamroth R, et al. Safety and efficacy of a fitusiran antithrombin-based dose regimen in people with hemophilia A or B: the ATLAS-OLE study. Blood. 2025;145(25):2966-2977.",PMC12824673 | PMID 40053895 | doi:10.1182/blood.2024027008,PMC12824673.txt,PubMed Central open-access full text (JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0 (Blood / American Society of Hematology),CC_BY_NC_ND,fitusiran,0,29
COG-S028,"Pipe SW, Lissitchkov T, et al. Long-term safety and efficacy of fitusiran prophylaxis, and perioperative management, in people with hemophilia A or B. Blood Adv. 2025;9(5).",PMC11914172 | PMID 39642315 | doi:10.1182/bloodadvances.2024013900,PMC11914172.txt,PubMed Central open-access full text (JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0 (Blood Advances / American Society of Hematology),CC_BY_NC_ND,fitusiran,0,29
COG-S029,"Kenet G, Nolan B, Zulfikar B, et al. Fitusiran prophylaxis in people with hemophilia A or B who switched from prior BPA/CFC prophylaxis: the ATLAS-PPX trial. Blood. 2024;143(21):2256-2269.",PMC11181353 | PMID 38452197 | doi:10.1182/blood.2023021864,PMC11181353.txt,PubMed Central open-access full text (JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0 (Blood / American Society of Hematology),CC_BY_NC_ND,fitusiran,0,14
COG-S030,"Young G, Sorensen B, Dargaud Y, et al. Targeting of antithrombin in hemophilia A or B with investigational siRNA therapeutic fitusiran (ALN-AT3): results of the phase 1 inhibitor cohort. J Thromb Haemost. 2021;19(6):1436-1446.",PMC8251589 | PMID 33587824 | doi:10.1111/jth.15270,PMC8251589.txt,PubMed Central open-access full text (Wiley-converted JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0 (Journal of Thrombosis and Haemostasis / Wiley for ISTH),CC_BY_NC_ND,fitusiran,0,18
COG-S031,"McCluskey G, Maynadie H, Borgel D, et al. Fitusiran treatment modulates the ratio between alpha- and beta-antithrombin isoforms. HemaSphere. 2026;10(5):e70376.",PMC13146349 | PMID 42100790 | doi:10.1002/hem3.70376,PMC13146349.txt,PubMed Central open-access full text (Wiley-converted JATS XML flattened to text) supplied in the coag-staging fulltext corpus,CC BY-NC-ND 4.0 (HemaSphere / Wiley for EHA),CC_BY_NC_ND,fitusiran,0,24
COG-S032,"Modulation of factor 7 expression. United States Patent US 9,029,337 B2, assignee Isis Pharmaceuticals, Inc.; application 12/741959 (35 U.S.C. 371 national phase of PCT/US2008/082526), filed 05 November 2008, published/granted 12 May 2015. Examples 11-18, Tables 19, 20, 22, 24, 26, 27, 29, 30 and 31.","US 9,029,337 B2",US9029337.txt,"HTML-to-text conversion of the USPTO grant obtained from a FreePatentsOnline mirror (the file ends with a FreePatentsOnline footer); stored as a plain-text file of 270,233 bytes / 14,018 lines. The named-inventor list is NOT present in this text conversion, so the citation is given by title, assignee and patent number only - no inventor names were invented.",Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,fvii-pkk-serpinc1-patents,2,69
COG-S033,"Modulation of prekallikrein (PKK) expression. United States Patent US 9,670,492 B2, assignee Ionis Pharmaceuticals, Inc.; application 14/472,318-series filing 28 August 2014, published/granted 06 June 2017. Examples 8, 17, 19, 20, 21 and 22, Tables 50, 52, 78, 81, 82, 83, 84 and 85; per-position chemical notations at lines 1279, 1311 and 1343.","US 9,670,492 B2",US9670492.txt,"HTML-to-text conversion of the USPTO grant obtained from a FreePatentsOnline mirror; 584,823 bytes / 66,176 lines. Application number is given as the filing date line only (""Filing Date: 08/28/2014""); the application serial number was NOT legible in this conversion and has not been guessed - treat the serial-number fragment in the citation as unverified.",Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,fvii-pkk-serpinc1-patents,10,87
COG-S034,"Serpinc1 iRNA compositions and methods of use thereof. United States Patent US 9,376,680 B2, assignee Alnylam Pharmaceuticals, Inc.; application 14/806084 (continuation of Ser. No. 13/837,129, now US 9,127,274), filed 22 July 2015, published/granted 28 June 2016. Examples 7-14, Tables 15, 18 and 19; monomer abbreviation table at lines 1840-1960.","US 9,376,680 B2",US9376680.txt,"HTML-to-text conversion of the USPTO grant obtained from a FreePatentsOnline mirror; 448,267 bytes / 13,661 lines. Inventor names are not present in this text conversion.",Text of a granted United States patent; US patent grant text is not subject to copyright and is in the public domain.,public_domain,fvii-pkk-serpinc1-patents,21,55
COG-S035,"Modulation of Factor 11 expression. United States Patent US 10,772,906 B2, Ionis Pharmaceuticals, Inc.","US 10,772,906 B2",US10772906.txt,"USPTO full-text grant, converted from HTML to whitespace-aligned plain text; staged locally by the triage step",United States federal government publication (issued patent text) - no copyright,public_domain,fxi-fxii-patents,14,702
COG-S036,"Compositions and methods for inhibiting gene expression of factor XII. United States Patent US 10,858,658 B2, Arrowhead Pharmaceuticals, Inc.","US 10,858,658 B2",US10858658.txt,"USPTO full-text grant, converted from HTML to whitespace-aligned plain text; staged locally by the triage step",United States federal government publication (issued patent text) - no copyright,public_domain,fxi-fxii-patents,6,31
COG-S037,"Methods for modulating factor 12 expression. United States Patent US 9,150,864 B2, Isis Pharmaceuticals, Inc.","US 9,150,864 B2",US9150864.txt,"USPTO full-text grant, converted from HTML to whitespace-aligned plain text; staged locally by the triage step",United States federal government publication (issued patent text) - no copyright,public_domain,fxi-fxii-patents,4,156
COG-S038,"Walsh M, Bethune C, Smyth A, Tyrwhitt J, Jung SW, Yu RZ, Wang Y, Geary RS, Weitz J, Bhanot S; CS4 Investigators. Phase 2 Study of the Factor XI Antisense Inhibitor IONIS-FXIRx in Patients With ESRD. Kidney Int Rep. 2022;7(2):200-209.",PMC8820988 | PMID 35155859 | doi:10.1016/j.ekir.2021.11.011 | NCT02553889,PMC8820988.xml,"PMC/Europe PMC JATS fullTextXML, staged locally; flattened for reading with an ElementTree walker",CC BY-NC-ND 4.0 (International Society of Nephrology / Elsevier); licence asserted in the article XML (pmc-license-ref CC BY-NC-ND),CC_BY_NC_ND,fxi-pkk-clinical,1,57
COG-S039,"Buller HR, Bethune C, Bhanot S, Gailani D, Monia BP, Raskob GE, Segers A, Verhamme P, Weitz JI; FXI-ASO TKA Investigators. Factor XI Antisense Oligonucleotide for Prevention of Venous Thrombosis. N Engl J Med. 2015;372(3):232-240.",PMC4367537 | PMID 25482425 | doi:10.1056/NEJMoa1405760 | NCT01713361,NCBI_PMC4367537.xml,"NIH author manuscript (NIHMS670480) deposited in PMC, retrieved as JATS XML. The sibling stub /home/user/coag-staging/fulltext/BULLER2015_PMC4367537.xml is 0 bytes and was NOT used.","No Creative Commons licence. (c) 2014 Massachusetts Medical Society; PMC record states 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' Free to read, NOT free to redistribute verbatim.",publisher_restricted,fxi-pkk-clinical,0,34
COG-S040,"Crosby JR, Marzec U, Revenko AS, Zhao C, Gao D, Matafonov A, Gailani D, MacLeod AR, Tucker EI, Gruber A, Hanson SR, Monia BP. Antithrombotic effect of antisense factor XI oligonucleotide treatment in primates. Arterioscler Thromb Vasc Biol. 2013;33(7):1670-1678.",PMC3717325 | PMID 23559626 | doi:10.1161/ATVBAHA.113.301282,NCBI_PMC3717325.xml,"NIH author manuscript (NIHMS471430) deposited in PMC, retrieved as JATS XML. The sibling stub /home/user/coag-staging/fulltext/CROSBY2013_PMC3717325.xml is 0 bytes and was NOT used.","No Creative Commons licence. American Heart Association author manuscript; PMC record states 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' Free to read, NOT free to redistribute verbatim.",publisher_restricted,fxi-pkk-clinical,1,13
COG-S041,"Lang T, Hodel K, Kubitza E, et al. Pharmacokinetics, pharmacodynamics, and safety of fesomersen in healthy Chinese, Japanese, and Caucasian volunteers. Clin Transl Sci. 2024;17(4):e13784.",PMC10985948 | PMID 38563414 | doi:10.1111/cts.13784,PMC10985948.xml,"PMC/Europe PMC JATS fullTextXML, staged locally",CC BY-NC 4.0 (Bayer AG / Wiley on behalf of ASCPT),CC_BY_NC,fxi-pkk-clinical,1,31
COG-S042,"Ferrone JD, Bhattacharjee G, Revenko AS, Zanardi TA, Warren MS, Derosier FJ, Viney NJ, Pham NC, Kaeser GE, Baker BF, Beech S, Monia BP, MacLeod AR, Wang Y, Crooke RM. IONIS-PKKRx a Novel Antisense Inhibitor of Prekallikrein and Bradykinin Production. Nucleic Acid Ther. 2019;29(2):82-91.",PMC6461157 | PMID 30817230 | doi:10.1089/nat.2018.0754 | protocol ISIS 546254-CS1,PMC6461157.xml,"PMC/Europe PMC JATS fullTextXML, staged locally. Byte-identical duplicate present at /home/user/coag-staging/fulltext/PKK_PMC6461157.xml; flattened text copies at PMC6461157.txt and PKK_PMC6461157.txt. One upstream sweep record carried the WRONG DOI 10.1080/21678707.2019.1571905; the article XML gives 10.1089/nat.2018.0754, which is what is recorded here.","CC BY-NC (Mary Ann Liebert, Inc.); licence asserted in the article XML (pmc-license-ref CC BY-NC)",CC_BY_NC,fxi-pkk-clinical,2,26
COG-S043,"Liang J, Nilsson S, Wikstrom J, Cao H, Zheng S, Xu Q, Yan X, Ueckert S, Sun Q, Guo C, Zhang H, Liang Z, Gao S, Gan LM. Inhibition of Factor XI Using RBD4059: A Novel GalNAc-siRNA With Potent and Durable Antithrombotic Effects. JACC Basic Transl Sci. 2025;10(6):786-797.",PMC12230477 | PMID 40562491 | doi:10.1016/j.jacbts.2024.12.005 | NCT05653037 (phase 1),PMC12230477.xml,"PMC/Europe PMC JATS fullTextXML, staged locally",CC BY 4.0 (the Authors / Elsevier) - fully redistributable,CC_BY,fxi-pkk-clinical,1,10
COG-S044,Preclinical safety and bleeding evaluation in swine for a small interfering RNA-lipid nanoparticle that prevents excess fibrinogen synthesis. J Thromb Haemost. 2025. (ABSTRACT ONLY - full text not obtainable),PMC12766900 | PMID 41076269 | doi:10.1016/j.jtha.2025.09.012,PMC12766900_abstract.txt,"Europe PMC abstract record only. Europe PMC fullTextXML returned 0 bytes on four attempts during triage; the abstract is genuinely all that was obtainable, not a transient retrieval failure. Flagged for full-text retrieval by another route (publisher site / interlibrary).",UNKNOWN - the Europe PMC licence field is null for this record. RPTH/Elsevier is normally CC BY-NC-ND but this record does not assert it. MUST be resolved before any redistribution.,unresolved,fxi-pkk-clinical,1,5
COG-S045,"TEGSEDI (inotersen) injection, for subcutaneous use - US Prescribing Information. Akcea Therapeutics, Inc. Initial U.S. Approval 2018; label revised 1/2024.",DailyMed setid 8513207e-b55f-417b-9473-af785146a543 | SPL v10 2024-01-26,dailymed_inotersen_tegsedi_akcea_8513207e-b55f-417b-9473-af785146a543.xml,NLM DailyMed SPL XML download (HL7 v3); tag-stripped .txt of the same basename also present but NOT used for the chemical name (see extraction_notes),"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,8
COG-S046,"RYTELO (imetelstat) for injection, for intravenous use - US Prescribing Information. Geron Corporation. Medication Guide issued 6/2024.",DailyMed setid b0fab7ca-e578-43c5-9df6-bdaff4182257 | SPL v4 2026-04-27,dailymed_imetelstat_rytelo_b0fab7ca-e578-43c5-9df6-bdaff4182257.xml,NLM DailyMed SPL XML download; byte-identical duplicate present at dailymed_b0fab7ca-e578-43c5-9df6-bdaff4182257.xml,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,9
COG-S047,"TRYNGOLZA (olezarsen) injection, for subcutaneous use - US Prescribing Information. Ionis Pharmaceuticals, Inc. Patient Information revised 06/2026.",DailyMed setid 0f51aa8e-8475-8cf9-e063-6394a90a6848 | SPL v7 2026-07-06,dailymed_olezarsen_tryngolza_0f51aa8e-8475-8cf9-e063-6394a90a6848.xml,NLM DailyMed SPL XML download,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,5
COG-S048,"DAWNZERA (donidalorsen) injection, for subcutaneous use - US Prescribing Information. Ionis Pharmaceuticals, Inc.",DailyMed setid 3ff501e0-f75f-07da-e063-6294a90a0cb7 | SPL v1 2025-10-01,dailymed_donidalorsen_dawnzera_3ff501e0-f75f-07da-e063-6294a90a0cb7.xml,NLM DailyMed SPL XML download,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,7
COG-S049,"SPINRAZA (nusinersen) injection, for intrathecal use - US Prescribing Information. Biogen.",DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94 | SPL v21 2026-04-06,dailymed_nusinersen_spinraza_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94.xml,NLM DailyMed SPL XML download; byte-identical duplicate present at dailymed_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94.xml,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,7
