measurement_id,oligo_id,study_type,species,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,thrombocytopenia_grade,is_platelet_specific,subject_class,source_id,source_ref,source_table,redistribution,notes
TMSR014,TOLG002,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,1.1,fold_change,no_change,1.1x_vs_PBS_control,0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 1.1+/-0.265, n=3; explicit zero row;verified_against_source"
TMSR015,TOLG002,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,1.333,fold_change,no_change,1.333x_vs_PBS_control,0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 1.333+/-0.404, n=3; explicit zero row;verified_against_source"
TMSR016,TOLG003,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,17.863,MFI,increase,11.68x_vs_negative_control(MFI_1.529),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 17.863+/-3.643, n=5;verified_against_source"
TMSR017,TOLG003,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,9.497,MFI,increase,3.37x_vs_negative_control(MFI_2.818),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 9.497+/-0.928, n=5;verified_against_source"
TMSR018,TOLG003,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,10.58,pct_binding,increase,vs ODN2395 non-PS 0.246pct; collagen-I 22kDa control 35.63pct,1,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 2C + S1 File Fig2,cc_by,mean of 2 replicates (7.71-13.45);verified_against_source
TMSR019,TOLG003,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,29.122,pct_heparin_max,increase,29.122pct_vs_18.266pct_at_0.001uM (assay floor),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 29.122+/-2.085, n=4; top tested conc, on the descending arm of the bell-shaped curve;verified_against_source"
TMSR020,TOLG003,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,0.333,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,49.105,pct_heparin_max,increase,49.1pct_vs_18.3pct_at_0.001uM (assay floor),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 49.105+/-4.487, n=4; peak of the bell-shaped curve - Results: '(AC)11 showed a bell-shaped curve similar to the heparin control and ODN2395 Thio';verified_against_source"
TMSR021,TOLG003,in_vitro,human,human_primary_bone_marrow_mononuclear_cells,bone_marrow,direct_addition,12.5,uM,5d,megakaryocyte,intracellular_ATP_MK1_megakaryocyte_lineage,0.543,uM_ATP,decrease,-15.0pct_vs_0uM_control(0.639uM_ATP),0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 4B right panel + S1 File Fig4,cc_by,"mean+/-SD 0.543+/-0.030, n=4, top tested conc;verified_against_source"
TMSR022,TOLG003,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,9.123,MFI,increase,4.21x_vs_matched_negative_control(MFI_2.166),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5E + S1 File Fig5,cc_by,"mean+/-SD 9.123+/-1.056, n=5; no kinase inhibitor;verified_against_source"
TMSR023,TOLG003,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,21.801,MFI,increase,10.58x_vs_matched_negative_control(MFI_2.060),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5E + S1 File Fig5,cc_by,"mean+/-SD 21.801+/-2.749, n=5; no kinase inhibitor. Conc not restated in the Fig 5E legend; Methods specify 10 uM final ON in the platelet activation assay;verified_against_source"
TMSR024,TOLG003,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,12.0,fold_change,increase,12.0x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 12.0+/-8.912, n=5;verified_against_source"
TMSR025,TOLG003,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,4.42,fold_change,increase,4.42x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 4.42+/-1.076, n=5;verified_against_source"
TMSR026,TOLG004,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,2.116,MFI,no_change,1.38x_vs_negative_control(MFI_1.529),0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 2.116+/-0.816, n=5; Results: 'no activity of the 10-mer (AC)5';verified_against_source"
TMSR027,TOLG004,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,3.045,MFI,no_change,1.08x_vs_negative_control(MFI_2.818),0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 3.045+/-0.679, n=5; below the 95% ULN cutoff of unstimulated platelets;verified_against_source"
TMSR028,TOLG004,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,6.05,pct_binding,increase,vs ODN2395 non-PS 0.246pct; collagen-I 22kDa control 35.63pct,1,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 2C + S1 File Fig2,cc_by,"mean of 2 replicates (3.55-8.55); length-dependent series, (AC)10 maximal per Results;verified_against_source"
TMSR029,TOLG004,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,43.081,pct_heparin_max,increase,43.081pct_vs_17.941pct_at_0.001uM (assay floor),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 43.081+/-3.771, n=4; top tested conc; dose- and length-dependent per Results;verified_against_source"
TMSR030,TOLG004,in_vitro,human,human_primary_bone_marrow_mononuclear_cells,bone_marrow,direct_addition,12.5,uM,5d,megakaryocyte,intracellular_ATP_MK1_megakaryocyte_lineage,0.631,uM_ATP,decrease,-8.3pct_vs_0uM_control(0.688uM_ATP),0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 4B right panel + S1 File Fig4,cc_by,"mean+/-SD 0.631+/-0.023, n=4, top tested conc. Authors conclude no bone-marrow suppression; graded 0 per that conclusion. Results says 'up to 10 uM' but S1 data and the Fig 4 axis reach 12.5 uM - source data used;verified_against_source"
TMSR031,TOLG004,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,8.56,fold_change,increase,8.56x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 8.56+/-6.946, n=5; length-independent IL-8 rise, 50 uM far above clinical exposure;verified_against_source"
TMSR032,TOLG004,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,3.08,fold_change,increase,3.08x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 3.08+/-0.976, n=5; Results quote a 3-4 fold MCP-1 rise for the (AC)n series;verified_against_source"
TMSR033,TOLG005,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,4.583,MFI,increase,3.0x_vs_negative_control(MFI_1.529),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 4.583+/-1.997, n=5;verified_against_source"
TMSR034,TOLG005,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,4.673,MFI,increase,1.66x_vs_negative_control(MFI_2.818),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 4.673+/-1.226, n=5;verified_against_source"
TMSR035,TOLG005,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,9.055,pct_binding,increase,vs ODN2395 non-PS 0.246pct; collagen-I 22kDa control 35.63pct,1,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 2C + S1 File Fig2,cc_by,mean of 2 replicates (5.20-12.91);verified_against_source
TMSR036,TOLG005,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,38.024,pct_heparin_max,increase,38.024pct_vs_17.538pct_at_0.001uM (assay floor),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 38.024+/-4.454, n=4; top tested conc;verified_against_source"
TMSR037,TOLG005,in_vitro,human,human_primary_bone_marrow_mononuclear_cells,bone_marrow,direct_addition,12.5,uM,5d,megakaryocyte,intracellular_ATP_MK1_megakaryocyte_lineage,0.603,uM_ATP,decrease,-8.8pct_vs_0uM_control(0.661uM_ATP),0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 4B right panel + S1 File Fig4,cc_by,"mean+/-SD 0.603+/-0.034, n=4, top tested conc; authors report no significant effect;verified_against_source"
TMSR038,TOLG005,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,10.14,fold_change,increase,10.14x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 10.14+/-7.645, n=5;verified_against_source"
TMSR039,TOLG005,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,3.06,fold_change,increase,3.06x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 3.06+/-0.918, n=5;verified_against_source"
TMSR040,TOLG006,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,8.576,MFI,increase,5.61x_vs_negative_control(MFI_1.529),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 8.576+/-4.495, n=5;verified_against_source"
TMSR041,TOLG006,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,6.207,MFI,increase,2.2x_vs_negative_control(MFI_2.818),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 6.207+/-1.669, n=5;verified_against_source"
TMSR042,TOLG006,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,14.32,pct_binding,increase,vs ODN2395 non-PS 0.246pct; collagen-I 22kDa control 35.63pct,1,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 2C + S1 File Fig2,cc_by,mean of 2 replicates (13.97-14.67);verified_against_source
TMSR043,TOLG006,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,42.894,pct_heparin_max,increase,42.894pct_vs_18.13pct_at_0.001uM (assay floor),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 42.894+/-5.217, n=4; top tested conc;verified_against_source"
TMSR044,TOLG006,in_vitro,human,human_primary_bone_marrow_mononuclear_cells,bone_marrow,direct_addition,12.5,uM,5d,megakaryocyte,intracellular_ATP_MK1_megakaryocyte_lineage,0.590,uM_ATP,decrease,-12.3pct_vs_0uM_control(0.673uM_ATP),0,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 4B right panel + S1 File Fig4,cc_by,"mean+/-SD 0.590+/-0.065, n=4, top tested conc;verified_against_source"
TMSR045,TOLG006,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,8.62,fold_change,increase,8.62x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 8.62+/-5.587, n=5;verified_against_source"
TMSR046,TOLG006,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,2.98,fold_change,increase,2.98x_vs_PBS_control,1,FALSE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 2.98+/-0.832, n=5;verified_against_source"
TMSR047,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,16.793,MFI,increase,10.98x_vs_negative_control(MFI_1.529),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 16.793+/-3.533, n=5; Results: maximum effect reached at the 16-mer;verified_against_source"
TMSR048,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,9.208,MFI,increase,3.27x_vs_negative_control(MFI_2.818),2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 9.208+/-0.762, n=5;verified_against_source"
TMSR049,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,0.1,uM,10min,platelet_activation,CD62P_P-selectin,1.01,fold_change,no_change,1.01x_stimulation_index_vs_vehicle,0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C lower panel,cc_by,"SI mean+/-SD 1.01+/-0.079, n=3; S1 conc labels reversed vs plotted axis, follows Fig 1C image;verified_against_source"
TMSR050,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,0.3,uM,10min,platelet_activation,CD62P_P-selectin,1.046,fold_change,no_change,1.046x_stimulation_index_vs_vehicle,0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C lower panel,cc_by,"SI mean+/-SD 1.046+/-0.074, n=3;verified_against_source"
TMSR051,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,1,uM,10min,platelet_activation,CD62P_P-selectin,1.467,fold_change,increase,1.467x_stimulation_index_vs_vehicle,3,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C lower panel,cc_by,"SI mean+/-SD 1.467+/-0.21, n=3; activation at/below clinical peak plasma concentration;verified_against_source"
TMSR052,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,3,uM,10min,platelet_activation,CD62P_P-selectin,2.235,fold_change,increase,2.235x_stimulation_index_vs_vehicle,3,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C lower panel,cc_by,"SI mean+/-SD 2.235+/-0.276, n=3;verified_against_source"
TMSR053,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,2.696,fold_change,increase,2.696x_stimulation_index_vs_vehicle,2,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C lower panel,cc_by,"SI mean+/-SD 2.696+/-0.252, n=3;verified_against_source"
TMSR054,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,0.1,uM,10min,platelet_activation,PAC-1_binding,1.022,fold_change,no_change,1.022x_stimulation_index_vs_vehicle,0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C upper panel,cc_by,"SI mean+/-SD 1.022+/-0.015, n=3. S1 conc labels are reverse-ordered vs the plotted axis; assignment follows the Fig 1C image;verified_against_source"
TMSR055,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,0.3,uM,10min,platelet_activation,PAC-1_binding,1.061,fold_change,no_change,1.061x_stimulation_index_vs_vehicle,0,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C upper panel,cc_by,"SI mean+/-SD 1.061+/-0.023, n=3; below the activation threshold;verified_against_source"
TMSR056,TOLG007,in_vitro,human,washed_human_platelets,platelet,direct_addition,1,uM,10min,platelet_activation,PAC-1_binding,1.564,fold_change,increase,1.564x_stimulation_index_vs_vehicle,3,TRUE,human_in_vitro,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1C upper panel,cc_by,"SI mean+/-SD 1.564+/-0.278, n=3. Results: 1 uM is the lowest concentration giving upregulation. Graded 3: activation at/below the therapeutic plasma concentration the authors cite (single-digit uM clinical Cmax);verified_against_source"
